✅ Mesh passed the basic validity checks.

Warnings:
Vertex 451 has valence 0 < 3.
Vertex 452 has valence 0 < 3.
Vertex 453 has valence 0 < 3.
Vertex 454 has valence 0 < 3.
Vertex 455 has valence 0 < 3.
Vertex 456 has valence 0 < 3.
Vertex 457 has valence 0 < 3.
Vertex 458 has valence 0 < 3.
Vertex 459 has valence 0 < 3.
Vertex 460 has valence 0 < 3.
Vertex 461 has valence 0 < 3.
Vertex 462 has valence 0 < 3.
Vertex 463 has valence 0 < 3.
Vertex 464 has valence 0 < 3.
Vertex 465 has valence 0 < 3.
Vertex 466 has valence 0 < 3.
Vertex 467 has valence 0 < 3.
Vertex 468 has valence 0 < 3.
Vertex 469 has valence 0 < 3.
Vertex 470 has valence 0 < 3.
Vertex 471 has valence 0 < 3.
Vertex 472 has valence 0 < 3.
Vertex 473 has valence 0 < 3.
Vertex 474 has valence 0 < 3.
Vertex 475 has valence 0 < 3.
Vertex 476 has valence 0 < 3.
Vertex 477 has valence 0 < 3.
Vertex 478 has valence 0 < 3.
Vertex 479 has valence 0 < 3.
Vertex 480 has valence 0 < 3.
Vertex 481 has valence 0 < 3.
Vertex 482 has valence 0 < 3.
Vertex 483 has valence 0 < 3.
Vertex 484 has valence 0 < 3.
Vertex 485 has valence 0 < 3.
Vertex 486 has valence 0 < 3.
Vertex 487 has valence 0 < 3.
Vertex 488 has valence 0 < 3.
Vertex 489 has valence 0 < 3.
Vertex 490 has valence 0 < 3.
Vertex 491 has valence 0 < 3.
Vertex 492 has valence 0 < 3.
Vertex 493 has valence 0 < 3.
Vertex 494 has valence 0 < 3.
Vertex 495 has valence 0 < 3.
Vertex 496 has valence 0 < 3.
Vertex 497 has valence 0 < 3.
Vertex 498 has valence 0 < 3.
Vertex 499 has valence 0 < 3.
Vertex 500 has valence 0 < 3.
Vertex 501 has valence 0 < 3.
Vertex 502 has valence 0 < 3.
Vertex 503 has valence 0 < 3.
Vertex 504 has valence 0 < 3.
Vertex 505 has valence 0 < 3.
Vertex 506 has valence 0 < 3.
Vertex 507 has valence 0 < 3.
Vertex 508 has valence 0 < 3.
Vertex 509 has valence 0 < 3.
Vertex 510 has valence 0 < 3.
Vertex 511 has valence 0 < 3.
Vertex 512 has valence 0 < 3.
Vertex 513 has valence 0 < 3.
Vertex 514 has valence 0 < 3.
Vertex 515 has valence 0 < 3.
Vertex 516 has valence 0 < 3.
Vertex 517 has valence 0 < 3.
Vertex 518 has valence 0 < 3.
Vertex 519 has valence 0 < 3.
Vertex 520 has valence 0 < 3.
Vertex 521 has valence 0 < 3.
Vertex 522 has valence 0 < 3.
Vertex 523 has valence 0 < 3.
Vertex 524 has valence 0 < 3.
Vertex 525 has valence 0 < 3.
Vertex 526 has valence 0 < 3.
Vertex 527 has valence 0 < 3.
Vertex 528 has valence 0 < 3.
Vertex 529 has valence 0 < 3.
Vertex 530 has valence 0 < 3.
Vertex 531 has valence 0 < 3.
Vertex 532 has valence 0 < 3.
Vertex 533 has valence 0 < 3.
Vertex 534 has valence 0 < 3.
Vertex 535 has valence 0 < 3.
Vertex 536 has valence 0 < 3.
Vertex 537 has valence 0 < 3.
Vertex 538 has valence 0 < 3.
Vertex 539 has valence 0 < 3.
Vertex 540 has valence 0 < 3.
Vertex 541 has valence 0 < 3.
Vertex 542 has valence 0 < 3.
Vertex 543 has valence 0 < 3.
Vertex 544 has valence 0 < 3.
Vertex 545 has valence 0 < 3.
Vertex 546 has valence 0 < 3.
Vertex 547 has valence 0 < 3.
Vertex 548 has valence 0 < 3.
Vertex 549 has valence 0 < 3.
Vertex 550 has valence 0 < 3.
Vertex 551 has valence 0 < 3.
Vertex 552 has valence 0 < 3.
Vertex 553 has valence 0 < 3.
Vertex 554 has valence 0 < 3.
Vertex 555 has valence 0 < 3.
Vertex 556 has valence 0 < 3.
Vertex 557 has valence 0 < 3.
Vertex 558 has valence 0 < 3.
Vertex 559 has valence 0 < 3.
Vertex 560 has valence 0 < 3.
Vertex 561 has valence 0 < 3.
Vertex 562 has valence 0 < 3.
Vertex 563 has valence 0 < 3.
Vertex 564 has valence 0 < 3.
Vertex 565 has valence 0 < 3.
Vertex 566 has valence 0 < 3.
Vertex 567 has valence 0 < 3.
Vertex 568 has valence 0 < 3.
Vertex 569 has valence 0 < 3.
Vertex 570 has valence 0 < 3.
Vertex 571 has valence 0 < 3.
Vertex 572 has valence 0 < 3.
Vertex 573 has valence 0 < 3.
Vertex 574 has valence 0 < 3.
Vertex 575 has valence 0 < 3.
Vertex 576 has valence 0 < 3.
Vertex 577 has valence 0 < 3.
Vertex 578 has valence 0 < 3.
Vertex 579 has valence 0 < 3.
Vertex 580 has valence 0 < 3.
Vertex 581 has valence 0 < 3.
Vertex 582 has valence 0 < 3.
Vertex 583 has valence 0 < 3.
Vertex 584 has valence 0 < 3.
Vertex 585 has valence 0 < 3.
Vertex 586 has valence 0 < 3.
Vertex 587 has valence 0 < 3.
Vertex 588 has valence 0 < 3.
Vertex 589 has valence 0 < 3.
Vertex 590 has valence 0 < 3.
Vertex 591 has valence 0 < 3.
Vertex 592 has valence 0 < 3.
Vertex 593 has valence 0 < 3.
Vertex 594 has valence 0 < 3.
Vertex 595 has valence 0 < 3.
Vertex 596 has valence 0 < 3.
Vertex 597 has valence 0 < 3.
Vertex 598 has valence 0 < 3.
Vertex 599 has valence 0 < 3.
Vertex 600 has valence 0 < 3.
Vertex 601 has valence 0 < 3.
Vertex 602 has valence 0 < 3.
Vertex 603 has valence 0 < 3.
Vertex 604 has valence 0 < 3.
Vertex 605 has valence 0 < 3.
Vertex 606 has valence 0 < 3.
Vertex 607 has valence 0 < 3.
Vertex 608 has valence 0 < 3.
Vertex 609 has valence 0 < 3.
Vertex 610 has valence 0 < 3.
Vertex 611 has valence 0 < 3.
Vertex 612 has valence 0 < 3.
Vertex 613 has valence 0 < 3.
Vertex 614 has valence 0 < 3.
Vertex 615 has valence 0 < 3.
Vertex 616 has valence 0 < 3.
Vertex 617 has valence 0 < 3.
Vertex 618 has valence 0 < 3.
Vertex 619 has valence 0 < 3.
Vertex 620 has valence 0 < 3.
Vertex 621 has valence 0 < 3.
Vertex 622 has valence 0 < 3.
Vertex 623 has valence 0 < 3.
Vertex 624 has valence 0 < 3.
Vertex 625 has valence 0 < 3.
Vertex 626 has valence 0 < 3.
Vertex 627 has valence 0 < 3.
Vertex 628 has valence 0 < 3.
Vertex 629 has valence 0 < 3.
Vertex 630 has valence 0 < 3.
Vertex 631 has valence 0 < 3.
Vertex 632 has valence 0 < 3.
Vertex 633 has valence 0 < 3.
Vertex 634 has valence 0 < 3.
Vertex 635 has valence 0 < 3.
Vertex 636 has valence 0 < 3.
Vertex 637 has valence 0 < 3.
Vertex 638 has valence 0 < 3.
Vertex 639 has valence 0 < 3.
Vertex 640 has valence 0 < 3.
Vertex 641 has valence 0 < 3.
Vertex 642 has valence 0 < 3.
Vertex 643 has valence 0 < 3.
Vertex 644 has valence 0 < 3.
Vertex 645 has valence 0 < 3.
Vertex 646 has valence 0 < 3.
Vertex 647 has valence 0 < 3.
Vertex 648 has valence 0 < 3.
Vertex 649 has valence 0 < 3.
Vertex 650 has valence 0 < 3.
Vertex 651 has valence 0 < 3.
Vertex 652 has valence 0 < 3.
Vertex 653 has valence 0 < 3.
Vertex 654 has valence 0 < 3.
Vertex 655 has valence 0 < 3.
Vertex 656 has valence 0 < 3.
Vertex 657 has valence 0 < 3.
Vertex 658 has valence 0 < 3.
Vertex 659 has valence 0 < 3.
Vertex 660 has valence 0 < 3.
Vertex 661 has valence 0 < 3.
Vertex 662 has valence 0 < 3.
Vertex 663 has valence 0 < 3.
Vertex 664 has valence 0 < 3.
Vertex 665 has valence 0 < 3.
Vertex 666 has valence 0 < 3.
Vertex 667 has valence 0 < 3.
Vertex 668 has valence 0 < 3.
Vertex 669 has valence 0 < 3.
Vertex 670 has valence 0 < 3.
Vertex 671 has valence 0 < 3.
Vertex 672 has valence 0 < 3.
Vertex 673 has valence 0 < 3.
Vertex 674 has valence 0 < 3.
Vertex 675 has valence 0 < 3.
Vertex 676 has valence 0 < 3.
Vertex 677 has valence 0 < 3.
Vertex 678 has valence 0 < 3.
Vertex 679 has valence 0 < 3.
Vertex 680 has valence 0 < 3.
Vertex 681 has valence 0 < 3.
Vertex 682 has valence 0 < 3.
Vertex 683 has valence 0 < 3.
Vertex 684 has valence 0 < 3.
Vertex 685 has valence 0 < 3.
Vertex 686 has valence 0 < 3.
Vertex 687 has valence 0 < 3.
Vertex 688 has valence 0 < 3.
Vertex 689 has valence 0 < 3.
Vertex 690 has valence 0 < 3.
Vertex 691 has valence 0 < 3.
Vertex 692 has valence 0 < 3.
Vertex 693 has valence 0 < 3.
Vertex 694 has valence 0 < 3.
Vertex 695 has valence 0 < 3.
Vertex 696 has valence 0 < 3.
Vertex 697 has valence 0 < 3.
Vertex 698 has valence 0 < 3.
Vertex 699 has valence 0 < 3.
Vertex 700 has valence 0 < 3.
Vertex 701 has valence 0 < 3.
Vertex 702 has valence 0 < 3.
Vertex 703 has valence 0 < 3.
Vertex 704 has valence 0 < 3.
Vertex 705 has valence 0 < 3.
Vertex 706 has valence 0 < 3.
Vertex 707 has valence 0 < 3.
Vertex 708 has valence 0 < 3.
Vertex 709 has valence 0 < 3.
Vertex 710 has valence 0 < 3.
Vertex 711 has valence 0 < 3.
Vertex 712 has valence 0 < 3.
Vertex 713 has valence 0 < 3.
Vertex 714 has valence 0 < 3.
Vertex 715 has valence 0 < 3.
Vertex 716 has valence 0 < 3.
Vertex 717 has valence 0 < 3.
Vertex 718 has valence 0 < 3.
Vertex 719 has valence 0 < 3.
Vertex 720 has valence 0 < 3.
Vertex 721 has valence 0 < 3.
Vertex 722 has valence 0 < 3.
Vertex 723 has valence 0 < 3.
Vertex 724 has valence 0 < 3.
Vertex 725 has valence 0 < 3.
Vertex 726 has valence 0 < 3.
Vertex 727 has valence 0 < 3.
Vertex 728 has valence 0 < 3.
Vertex 729 has valence 0 < 3.
Vertex 730 has valence 0 < 3.
Vertex 731 has valence 0 < 3.
Vertex 732 has valence 0 < 3.
Vertex 733 has valence 0 < 3.
Vertex 734 has valence 0 < 3.
Vertex 735 has valence 0 < 3.
Vertex 736 has valence 0 < 3.
Vertex 737 has valence 0 < 3.
Vertex 738 has valence 0 < 3.
Vertex 739 has valence 0 < 3.
Vertex 740 has valence 0 < 3.
